0.5, 0.5, 0.5, 0 1, 1, 1, -1, -1, -1, 1.5, 0.5, 0.5, -1, -1, -1, 0.5, 1.5, 0.5, -1, -1, -1, 0.5, 0.5, 1.5                                                      
1.5, 0.5, 0.5, 0 1, 1, 1, 0.5, 0.5, 0.5, 2.5, 0.5, 0.5, -1, -1, -1, 1.5, 1.5, 0.5, -1, -1, -1, 1.5, 0.5, 1.5                                                   
0.5, 1.5, 0.5, 0 1, 1, 1, -1, -1, -1, 1.5, 1.5, 0.5, 0.5, 2.5, 0.5, 0.5, 2.5, 0.5, -1, -1, -1, 0.5, 1.5, 1.5                                                   
1.5, 1.5, 0.5, 0 1, 1, 1, 0.5, 1.5, 0.5, 2.5, 1.5, 0.5, 1.5, 2.5, 0.5, 1.5, 2.5, 0.5, -1, -1, -1, 1.5, 1.5, 1.5                                                
0.5, 0.5, 1.5, 0 1, 1, 1, -1, -1, -1, 1.5, 0.5, 1.5, -1, -1, -1, 0.5, 1.5, 1.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.5                                                   
1.5, 0.5, 1.5, 0 1, 1, 1, 0.5, 0.5, 1.5, 2.5, 0.5, 1.5, -1, -1, -1, 1.5, 1.5, 1.5, 1.5, 0.5, 0.5, 1.5, 0.5, 2.5                                                
0.5, 1.5, 1.5, 0 1, 1, 1, -1, -1, -1, 1.5, 1.5, 1.5, 0.5, 2.5, 1.5, 0.5, 2.5, 1.5, 0.5, 1.5, 0.5, 0.5, 1.5, 2.5                                                
1.5, 1.5, 1.5, 0 1, 1, 1, 0.5, 1.5, 1.5, 2.5, 1.5, 1.5, 1.5, 2.5, 1.5, 1.5, 2.5, 1.5, 1.5, 1.5, 0.5, 1.5, 1.5, 2.5                                             
2.5, 0.5, 0.5, 0 3, 1, 1, 1.5, 0.5, 0.5, 3.5, 0.5, 0.5, -1, -1, -1, 2.5, 1.5, 0.5, -1, -1, -1, 2.5, 0.5, 1.5                                                   
3.5, 0.5, 0.5, 0 3, 1, 1, 2.5, 0.5, 0.5, 4.5, 0.5, 0.5, -1, -1, -1, 3.5, 1.5, 0.5, -1, -1, -1, 3.5, 0.5, 1.5                                                   
2.5, 1.5, 0.5, 0 3, 1, 1, 1.5, 1.5, 0.5, 3.5, 1.5, 0.5, 2.5, 2.5, 0.5, 2.5, 2.5, 0.5, -1, -1, -1, 2.5, 1.5, 1.5                                                
3.5, 1.5, 0.5, 0 3, 1, 1, 2.5, 1.5, 0.5, 4.5, 1.5, 0.5, 3.5, 2.5, 0.5, 3.5, 2.5, 0.5, -1, -1, -1, 3.5, 1.5, 1.5                                                
